ZIPCODE,Year,Quarter,NSA,Index_Type
13,1997,1,104.29,MSA/MSAD Index
13,1997,2,105.06,MSA/MSAD Index
13,1997,3,105.35,MSA/MSAD Index
13,1997,4,106.44,MSA/MSAD Index
13,1998,1,108.21,MSA/MSAD Index
13,1998,2,109.11,MSA/MSAD Index
13,1998,3,110.14,MSA/MSAD Index
13,1998,4,110.95,MSA/MSAD Index
13,1999,1,111.40,MSA/MSAD Index
13,1999,2,112.07,MSA/MSAD Index
13,1999,3,114.76,MSA/MSAD Index
13,1999,4,114.67,MSA/MSAD Index
13,2000,1,117.58,MSA/MSAD Index
13,2000,2,117.77,MSA/MSAD Index
13,2000,3,120.04,MSA/MSAD Index
13,2000,4,121.95,MSA/MSAD Index
13,2001,1,125.00,MSA/MSAD Index
13,2001,2,127.42,MSA/MSAD Index
13,2001,3,130.05,MSA/MSAD Index
13,2001,4,131.95,MSA/MSAD Index
13,2002,1,135.33,MSA/MSAD Index
13,2002,2,139.19,MSA/MSAD Index
13,2002,3,143.34,MSA/MSAD Index
13,2002,4,146.39,MSA/MSAD Index
13,2003,1,148.83,MSA/MSAD Index
13,2003,2,151.16,MSA/MSAD Index
13,2003,3,155.93,MSA/MSAD Index
13,2003,4,161.99,MSA/MSAD Index
13,2004,1,165.07,MSA/MSAD Index
13,2004,2,170.82,MSA/MSAD Index
13,2004,3,179.09,MSA/MSAD Index
13,2004,4,184.21,MSA/MSAD Index
13,2005,1,188.57,MSA/MSAD Index
13,2005,2,194.36,MSA/MSAD Index
13,2005,3,200.99,MSA/MSAD Index
13,2005,4,203.71,MSA/MSAD Index
13,2006,1,205.24,MSA/MSAD Index
13,2006,2,205.73,MSA/MSAD Index
13,2006,3,205.34,MSA/MSAD Index
13,2006,4,208.78,MSA/MSAD Index
13,2007,1,208.90,MSA/MSAD Index
13,2007,2,208.79,MSA/MSAD Index
13,2007,3,207.01,MSA/MSAD Index
13,2007,4,208.63,MSA/MSAD Index
13,2008,1,206.14,MSA/MSAD Index
13,2008,2,201.08,MSA/MSAD Index
13,2008,3,195.91,MSA/MSAD Index
13,2008,4,195.11,MSA/MSAD Index
13,2009,1,198.59,MSA/MSAD Index
13,2009,2,193.45,MSA/MSAD Index
13,2009,3,191.56,MSA/MSAD Index
13,2009,4,191.93,MSA/MSAD Index
13,2010,1,190.58,MSA/MSAD Index
13,2010,2,188.41,MSA/MSAD Index
13,2010,3,190.70,MSA/MSAD Index
13,2010,4,190.72,MSA/MSAD Index
13,2011,1,186.52,MSA/MSAD Index
13,2011,2,185.29,MSA/MSAD Index
13,2011,3,184.93,MSA/MSAD Index
13,2011,4,184.51,MSA/MSAD Index
13,2012,1,183.33,MSA/MSAD Index
13,2012,2,182.06,MSA/MSAD Index
13,2012,3,182.27,MSA/MSAD Index
13,2012,4,183.52,MSA/MSAD Index
13,2013,1,182.38,MSA/MSAD Index
13,2013,2,182.40,MSA/MSAD Index
13,2013,3,181.75,MSA/MSAD Index
13,2013,4,183.42,MSA/MSAD Index
13,2014,1,180.26,MSA/MSAD Index
13,2014,2,183.44,MSA/MSAD Index
13,2014,3,185.33,MSA/MSAD Index
13,2014,4,184.94,MSA/MSAD Index
13,2015,1,185.91,MSA/MSAD Index
13,2015,2,186.80,MSA/MSAD Index
13,2015,3,190.29,MSA/MSAD Index
13,2015,4,187.63,MSA/MSAD Index
13,2016,1,188.63,MSA/MSAD Index
13,2016,2,190.91,MSA/MSAD Index
13,2016,3,193.64,MSA/MSAD Index
13,2016,4,193.45,MSA/MSAD Index
13,2017,1,193.48,MSA/MSAD Index
13,2017,2,198.25,MSA/MSAD Index
13,2017,3,198.98,MSA/MSAD Index
13,2017,4,200.35,MSA/MSAD Index
13,2018,1,202.20,MSA/MSAD Index
13,2018,2,206.88,MSA/MSAD Index
13,2018,3,207.98,MSA/MSAD Index
13,2018,4,208.21,MSA/MSAD Index
13,2019,1,207.60,MSA/MSAD Index
13,2019,2,213.71,MSA/MSAD Index
13,2019,3,216.42,MSA/MSAD Index
13,2019,4,217.79,MSA/MSAD Index
13,2020,1,220.19,MSA/MSAD Index
13,2020,2,222.95,MSA/MSAD Index
13,2020,3,227.58,MSA/MSAD Index
13,2020,4,234.43,MSA/MSAD Index
13,2021,1,239.69,MSA/MSAD Index
13,2021,2,252.38,MSA/MSAD Index
13,2021,3,266.18,MSA/MSAD Index
13,2021,4,273.08,MSA/MSAD Index
14,1995,1,100.00,Native 3-Digit ZIP index
14,1995,2,102.47,Native 3-Digit ZIP index
14,1995,3,103.60,Native 3-Digit ZIP index
14,1995,4,102.60,Native 3-Digit ZIP index
14,1996,1,105.57,Native 3-Digit ZIP index
14,1996,2,105.47,Native 3-Digit ZIP index
14,1996,3,107.83,Native 3-Digit ZIP index
14,1996,4,107.45,Native 3-Digit ZIP index
14,1997,1,107.89,Native 3-Digit ZIP index
14,1997,2,108.44,Native 3-Digit ZIP index
14,1997,3,112.31,Native 3-Digit ZIP index
14,1997,4,112.93,Native 3-Digit ZIP index
14,1998,1,114.89,Native 3-Digit ZIP index
14,1998,2,116.64,Native 3-Digit ZIP index
14,1998,3,119.89,Native 3-Digit ZIP index
14,1998,4,120.53,Native 3-Digit ZIP index
14,1999,1,123.23,Native 3-Digit ZIP index
14,1999,2,126.90,Native 3-Digit ZIP index
14,1999,3,130.75,Native 3-Digit ZIP index
14,1999,4,133.89,Native 3-Digit ZIP index
14,2000,1,138.75,Native 3-Digit ZIP index
14,2000,2,144.40,Native 3-Digit ZIP index
